Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN
1,1,0,5,0,9.39778,-0.742121,-13.5814,0.000735901
1,1,0,5,0,9.39732,-0.742098,-13.5814,0.000735901
1,1,0,5,0,9.39655,-0.742026,-13.5814,0.000735901
1,1,0,5,0,9.39541,-0.742183,-13.5814,0.000735901
1,1,0,5,0,9.39283,-0.742174,-13.5814,0.000735901
1,1,0,5,0,9.382,-0.742167,-13.5814,0.000735901
1,1,0,5,0,9.37057,-0.742301,-13.5814,0.000735901
1,1,0,5,0,9.3687,-0.742431,-13.5814,0.000735901
1,1,0,5,0,9.36916,-0.742527,-13.5814,0.000735901
1,1,0,5,0,9.37609,-0.742559,-13.5814,0.000735901
1,1,0,5,0,9.38933,-0.742514,-13.5814,0.000735901
1,1,0,5,0,9.39521,-0.742487,-13.5814,0.000735901
1,1,0,5,0,9.39533,-0.74247,-13.5814,0.000735901
1,1,0,5,0,9.39491,-0.742474,-13.5814,0.000735901
1,1,0,5,0,9.39364,-0.742523,-13.5814,0.000735901
1,1,0,5,0,9.39304,-0.742462,-13.5814,0.000735901
1,1,0,5,0,9.39267,-0.742382,-13.5814,0.000735901
1,1,0,5,0,9.39267,-0.742396,-13.5814,0.000735901
1,1,0,5,0,9.39265,-0.742329,-13.5814,0.000735901
1,1,0,5,0,9.39268,-0.742365,-13.5814,0.000735901
1,1,0,5,0,9.39336,-0.742482,-13.5814,0.000735901
1,1,0,5,0,9.39375,-0.742528,-13.5814,0.000735901
1,1,0,5,0,9.39418,-0.742566,-13.5814,0.000735901
1,1,0,5,0,9.3954,-0.742468,-13.5814,0.000735901
1,1,0,5,0,9.3956,-0.742483,-13.5814,0.000735901
1,1,0,5,0,9.39604,-0.742509,-13.5814,0.000735901
1,1,0,5,0,9.39584,-0.742499,-13.5814,0.000735901
1,1,0,5,0,9.39388,-0.742526,-13.5814,0.000735901
1,1,0,5,0,9.39302,-0.74257,-13.5814,0.000735901
1,1,0,5,0,9.39337,-0.742453,-13.5814,0.000735901
1,1,0,5,0,9.39358,-0.74244,-13.5814,0.000735901
1,1,0,5,0,9.39511,-0.742494,-13.5814,0.000735901
1,1,0,5,0,9.39746,-0.742508,-13.5814,0.000735901
1,1,0,5,0,9.39829,-0.742408,-13.5814,0.000735901
1,1,0,5,0,9.39793,-0.74239,-13.5814,0.000735901
1,1,0,5,0,9.39726,-0.742406,-13.5814,0.000735901
1,1,0,5,0,9.39652,-0.742416,-13.5814,0.000735901
1,1,0,5,0,9.39504,-0.742443,-13.5814,0.000735901
1,1,0,5,0,9.39474,-0.742518,-13.5814,0.000735901
1,1,0,5,0,9.39551,-0.742541,-13.5814,0.000735901
1,1,0,5,0,9.39675,-0.74242,-13.5814,0.000735901
1,1,0,5,0,9.39734,-0.742418,-13.5814,0.000735901
1,1,0,5,0,9.39779,-0.742449,-13.5814,0.000735901
1,1,0,5,0,9.39827,-0.74239,-13.5814,0.000735901
1,1,0,5,0,9.39891,-0.74225,-13.5814,0.000735901
1,1,0,5,0,9.39868,-0.742168,-13.5814,0.000735901
1,1,0,5,0,9.39887,-0.74211,-13.5814,0.000735901
1,1,0,5,0,9.39963,-0.74205,-13.5814,0.000735901
1,1,0,5,0,9.3991,-0.742154,-13.5814,0.000735901
1,1,0,5,0,9.39837,-0.742203,-13.5814,0.000735901
1,1,0,5,0,9.39838,-0.742153,-13.5814,0.000735901
1,1,0,5,0,9.39826,-0.742156,-13.5814,0.000735901
1,1,0,5,0,9.39671,-0.742231,-13.5814,0.000735901
1,1,0,5,0,9.39636,-0.742329,-13.5814,0.000735901
1,1,0,5,0,9.39716,-0.742346,-13.5814,0.000735901
1,1,0,5,0,9.3972,-0.742325,-13.5814,0.000735901
1,1,0,5,0,9.3978,-0.742361,-13.5814,0.000735901
1,1,0,5,0,9.3983,-0.742409,-13.5814,0.000735901
1,1,0,5,0,9.39925,-0.742411,-13.5814,0.000735901
1,1,0,5,0,9.39898,-0.742566,-13.5814,0.000735901
1,1,0,5,0,9.39894,-0.742637,-13.5814,0.000735901
1,1,0,5,0,9.39923,-0.742536,-13.5814,0.000735901
1,1,0,5,0,9.39879,-0.742494,-13.5814,0.000735901
1,1,0,5,0,9.39907,-0.742397,-13.5814,0.000735901
1,1,0,5,0,9.40001,-0.742324,-13.5814,0.000735901
1,1,0,5,0,9.40046,-0.742315,-13.5814,0.000735901
1,1,0,5,0,9.4005,-0.742311,-13.5814,0.000735901
1,1,0,5,0,9.4002,-0.742277,-13.5814,0.000735901
1,1,0,5,0,9.40011,-0.742259,-13.5814,0.000735901
1,1,0,5,0,9.40105,-0.742128,-13.5814,0.000735901
1,1,0,5,0,9.40196,-0.742091,-13.5814,0.000735901
1,1,0,5,0,9.4023,-0.742068,-13.5814,0.000735901
1,1,0,5,0,9.40177,-0.742028,-13.5814,0.000735901
1,1,0,5,0,9.40056,-0.742239,-13.5814,0.000735901
1,1,0,5,0,9.3992,-0.742396,-13.5814,0.000735901
1,1,0,5,0,9.39941,-0.742309,-13.5814,0.000735901
1,1,0,5,0,9.39981,-0.742445,-13.5814,0.000735901
1,1,0,5,0,9.40003,-0.742469,-13.5814,0.000735901
1,1,0,5,0,9.4008,-0.74235,-13.5814,0.000735901
1,1,0,5,0,9.40186,-0.742273,-13.5814,0.000735901
1,1,0,5,0,9.40286,-0.742243,-13.5814,0.000735901
1,1,0,5,0,9.40332,-0.742243,-13.5814,0.000735901
1,1,0,5,0,9.40349,-0.742237,-13.5814,0.000735901
1,1,0,5,0,9.40269,-0.742195,-13.5814,0.000735901
1,1,0,5,0,9.40112,-0.742243,-13.5814,0.000735901
1,1,0,5,0,9.39952,-0.742253,-13.5814,0.000735901
1,1,0,5,0,9.39975,-0.742167,0,0
1,1,0,5,0,9.3998,-0.742167,0,0
1,1,0,5,0,8.08435,-0.65307,0,0
1,1,0,5,0,6.01558,-0.489849,0,0
1,1,0,5,0,3.75944,-0.31176,0,0
1,1,0,5,0,1.69094,-0.148564,0,0
1,1,0,5,0,-0.00268471,-0.000353132,0,0
1,1,0,5,0,-0.00316503,-0.000294966,0,0
1,1,0,5,0,-0.00250446,-0.000245432,0,0
1,1,0,5,0,-0.00276107,-0.00022687,0,0
1,1,0,5,0,-0.00274999,-0.000162234,0,0
1,1,0,5,0,-0.00262709,-5.49074e-05,0,0
1,1,0,5,0,-0.00290923,-3.77417e-05,0,0
1,1,0,5,0,-0.00304106,-3.72956e-05,0,0
1,1,0,5,0,-0.00276279,4.21028e-05,0,0
1,1,0,5,0,-0.00208086,0.000125663,0,0
1,1,0,5,0,-0.00293706,7.94992e-06,0,0
1,1,0,5,0,-0.00570942,-6.57378e-05,0,0
1,1,0,5,0,-0.00657108,-0.000104448,0,0
1,1,0,5,0,-0.00702824,-0.000155539,0,0
1,1,0,5,0,-0.00793542,-0.000233443,0,0
1,1,0,5,0,-0.00612018,-0.000219502,0,0
1,1,0,5,0,-0.00393609,-0.000117875,0,0
1,1,0,5,0,-0.00338132,-0.000104071,0,0
1,1,0,5,0,-0.00306337,-9.3701e-05,0,0
1,1,0,5,0,-0.00248725,-7.48581e-05,0,0
1,1,0,5,0,-0.00298908,-6.03839e-05,0,0
1,1,0,5,0,-0.00352533,-2.21924e-05,0,0
